IMAGE_SCHEMA_ANNOTATION,LinguisticExamples,Language
CENTER-PERIPHERY,Let’s strip away all the unimportant details.,en
CENTER-PERIPHERY,What is central here?,en
CENTER-PERIPHERY,That’s just a peripheral issue.,en
CENTER-PERIPHERY,This is the core of the matter.,en
CENTER-PERIPHERY,The issue is central to these negotiations.,en
CENTER-PERIPHERY,Put aside for a moment the fact that the man has been in prison.,en
CENTER-PERIPHERY,He’s had to put away all ideas of becoming a concert pianist.,en
CENTER-PERIPHERY,She put the idea to the back of her mind.,en
CENTER-PERIPHERY,I had simply shelved this awkward problem.,en
CENTER-PERIPHERY,These crucial issues tend to get pushed aside and forgotten.,en
CENTER-PERIPHERY,She brushed the thought away.,en
CENTER-PERIPHERY,The animal rights movement threatens the very core of what the Public Health Service is all about.,en
CENTER-PERIPHERY,"It is unlike East London, where over the last ten or twenty years the heart has been torn out of manufacturing industry in the docks and with it has gone traditional working-class organisation.",en
CENTER-PERIPHERY,Love for his son has kept him goingamidst the grief.,en
CENTER-PERIPHERY,In the midst of the nation’s grief.,en
CENTER-PERIPHERY,"The Muslim tradition spoke to her again at a time of distress in her life, after the death of her mother.‘I was in the midst of a personal crisis, along with my mom’s death,<...>.’",en
CENTER-PERIPHERY,Emigration has threatened to unravel the fabric of this small society.,en
CENTER-PERIPHERY,The chairman has managed to weave together quite a coalition,en
CENTER-PERIPHERY,"A and B are close, but they are by no means identical.",en
CENTER-PERIPHERY,The addition brought my house closer to what I had in mind.,en
CENTER-PERIPHERY,"These colors aren’t quite the same, but they’re close.",en
CENTER-PERIPHERY,The difference between A and B is vast.,en
CENTER-PERIPHERY,I can’t tell them apart.,en
CENTER-PERIPHERY,There’s a long way between Paul Newman and Woody Allen.,en
CENTER-PERIPHERY,…eines wirklichkeitsnahen Politikbegriffs…,de
CENTER-PERIPHERY,"Das Politische…ist auch nicht weit entfernt von dem, was Dolf Sternberger die wahre…Politik genannt hat…",de
CENTER-PERIPHERY,…“zu mehr Bürgernähe“ in der Asylpolitik…,de
CENTER-PERIPHERY,…kommen die Männer dem Weltniveau wieder näher.,de
CENTER-PERIPHERY,…“dass die Leistungen nicht so weit von der Spitze weg sind.,de
CENTER-PERIPHERY,…die neuen Landsleute von drüben…in der Nähe des westdeutschen Pro-Kopf-Einkommens zu halten.,de
CENTER-PERIPHERY,…näherten sich die Sozialstrukturen in den europäischen Staaten einander an,de
CENTER-PERIPHERY,…der Annäherung zwischen Ost und West…,de
CENTER-PERIPHERY,Wenn die Löhne sich immer mehr von der Produktivität entfernen…,de
CENTER-PERIPHERY,Hier verringert sich der Abstand zum reichen Norden sogar…,de
CENTER-PERIPHERY,Produktivität und Löhne laufen immer weiter auseinander.,de
CENTER-PERIPHERY,…einige auseinanderdriftende Inflationsraten.,de
CENTER-PERIPHERY,"…dass die Weltwirtschaft sich grundlegend von dem fortentwickelte, was sie…gewesen war.",de
