sentence,image_schema
Where are we in this relationship?,SOURCE_PATH_GOAL
It feels like this relationship is going nowhere.,SOURCE_PATH_GOAL
He’s hit a crossroads in his career.,SOURCE_PATH_GOAL
…der dem Jüngeren…rechtzeitig den Weg freigab.,SOURCE_PATH_GOAL
Seine journalistischen Laufbahn begann Voß…,SOURCE_PATH_GOAL
…als Nachfolger von Hans Tietmeyer…,SOURCE_PATH_GOAL
…der Weg ins Weiße Haus…,SOURCE_PATH_GOAL
Für die Sozialdemokraten avancierte er zu einem ihrer Hoffnungsträger auf dem Weg an die Regierung…,SOURCE_PATH_GOAL
In ganz anderer Weise als seine Vorgänger…,SOURCE_PATH_GOAL
…bei ihren ersten Karriere-Schritten…,SOURCE_PATH_GOAL
…sehr verschiedene Karriere-Pfade…,SOURCE_PATH_GOAL
Do it over.,SOURCE_PATH_GOAL
" In the course of the investigation, new evidence was found. ",SOURCE_PATH_GOAL
Follow along as I assemble this.,SOURCE_PATH_GOAL
Follow these steps in assembly.,SOURCE_PATH_GOAL
His job offer opened up new paths for me.,SOURCE_PATH_GOAL
I can go whichever I want with this project.,SOURCE_PATH_GOAL
Opportunity is an open door.,SOURCE_PATH_GOAL
Open up your own opportunities.,SOURCE_PATH_GOAL
The temperature edged toward 90 degrees.,SOURCE_PATH_GOAL
Bob was ahead of Sam on the scale of intelligence.,SOURCE_PATH_GOAL
Unemployment moved closer and closer to 10%.,SOURCE_PATH_GOAL
The interest rate fell behind the expected amount.,SOURCE_PATH_GOAL
John’s intelligence goes way beyond Bill’s.,SOURCE_PATH_GOAL
Fuel consumption rose to the highest it has been in 20 years.,SOURCE_PATH_GOAL
The temperature shot up.,SOURCE_PATH_GOAL
We reason from premise to conclusion.,SOURCE_PATH_GOAL
It goes against reason that she’s guilty.,SOURCE_PATH_GOAL
Reason forces me to that conclusion.,SOURCE_PATH_GOAL
Reason leads me to that conclusion.,SOURCE_PATH_GOAL
Let us start out from the proposition that Hamlet feared his father.,SOURCE_PATH_GOAL
You can't move to that conclusion from where you are now.,SOURCE_PATH_GOAL
From here I'll proceed to show that humans are slaves of their passions.,SOURCE_PATH_GOAL
"Once you reach that point in the argument, you've got to go on to the conclusion.",SOURCE_PATH_GOAL
The next step is to demonstrate that monkeys can make tools.,SOURCE_PATH_GOAL
He got off the track of the argument.,SOURCE_PATH_GOAL
That assumption will lead you astray.,SOURCE_PATH_GOAL
I don't follow you.,SOURCE_PATH_GOAL
"This lecture will be fast-paced, so try to keep up! ",SOURCE_PATH_GOAL
We have set out to prove that bats are birds.,SOURCE_PATH_GOAL
"When we get to the next point, we shall see that philosophy is dead.",SOURCE_PATH_GOAL
"So far, we’ve seen that no current theories will work.",SOURCE_PATH_GOAL
We will proceed in a step-by-step fashion.,SOURCE_PATH_GOAL
