IS_ANNOTATION,LinguisticExamples
CENTER-PERIPHERY,Let’s strip away all the unimportant details.
CENTER-PERIPHERY,What is central here?
CENTER-PERIPHERY,That’s just a peripheral issue.
CENTER-PERIPHERY,This is the core of the matter.
CENTER-PERIPHERY,The issue is central to these negotiations.
CENTER-PERIPHERY,Put aside for a moment the fact that the man has been in prison.
CENTER-PERIPHERY,He’s had to put away all ideas of becoming a concert pianist.
CENTER-PERIPHERY,She put the idea to the back of her mind.
CENTER-PERIPHERY,I had simply shelved this awkward problem.
CENTER-PERIPHERY,These crucial issues tend to get pushed aside and forgotten.
CENTER-PERIPHERY,She brushed the thought away.
CENTER-PERIPHERY,The animal rights movement threatens the very core of what the Public Health Service is all about.
CENTER-PERIPHERY,"It is unlike East London, where over the last ten or twenty years the heart has been torn out of manufacturing industry in the docks and with it has gone traditional working-class organisation."
CENTER-PERIPHERY,Love for his son has kept him goingamidst the grief.
CENTER-PERIPHERY,In the midst of the nation’s grief.
CENTER-PERIPHERY,"The Muslim tradition spoke to her again at a time of distress in her life, after the death of her mother.‘I was in the midst of a personal crisis, along with my mom’s death,<...>.’"
CENTER-PERIPHERY,Emigration has threatened to unravel the fabric of this small society.
CENTER-PERIPHERY,The chairman has managed to weave together quite a coalition
CENTER-PERIPHERY,"A and B are close, but they are by no means identical."
CENTER-PERIPHERY,The addition brought my house closer to what I had in mind.
CENTER-PERIPHERY,"These colors aren’t quite the same, but they’re close."
CENTER-PERIPHERY,The difference between A and B is vast.
CENTER-PERIPHERY,I can’t tell them apart.
CENTER-PERIPHERY,There’s a long way between Paul Newman and Woody Allen.
CENTER-PERIPHERY,"To us, culture and spirituality are very close concepts."
CENTER-PERIPHERY,These ideas are closely related.
CENTER-PERIPHERY,France has close ties to former colony Tunisia
CENTER-PERIPHERY,My companion put it to me that an initiative must now be taken.
CENTER-PERIPHERY,"Stands to reason nobody'd dare to bomb us, because, we'd do the same to them."
CENTER-PERIPHERY,The mind starts revolting against even a distant suggestion that what we call `I' is a myth.
CENTER-PERIPHERY,For the Kaszubes and Poles of Danzig Poland was a distant idea only.
CENTER-PERIPHERY,"Far be it for me to try and teach you your job, but…"
CENTER-PERIPHERY,"I have never killed anyone in my life, never even come close to it.'"
CENTER-PERIPHERY,We have in fact already come close to the view that mental events are at bottom individual properties.
CENTER-PERIPHERY,He did come close to going on pension once at the age of 75 he sent off a perfunctory letter asking for retirement.
CENTER-PERIPHERY,He is out of touch with the political situation.
CENTER-PERIPHERY,Why don't you seize the opportunity?
CENTER-PERIPHERY,That's a far-fetched idea.
CENTER-PERIPHERY,His ideas are far out.
CENTER-PERIPHERY,I feel close to him.
CENTER-PERIPHERY,He’s close to his grandmother.
CENTER-PERIPHERY,He is very near and dear to her.
CENTER-PERIPHERY,She can’t get close to him.
CENTER-PERIPHERY,He keeps everyone at arms length.
CENTER-PERIPHERY,He distances himself.
CENTER-PERIPHERY,"We’ve been close for years, but we’re beginning to drift apart."
CENTER-PERIPHERY,He is a standoffish person.
CENTER-PERIPHERY,He had close personal contact with the natives.
CENTER-PERIPHERY,They lost touch with each other.
CENTER-PERIPHERY,They're very close.
CENTER-PERIPHERY,She's warming up to her new brother-in-law.
CENTER-PERIPHERY,There seems to be growing friendship between Shia Iran and its Sunni-dominated neighbours.
CENTER-PERIPHERY,It’s this one here that I want.
CENTER-PERIPHERY,Here is the pound I owe you.
CENTER-PERIPHERY,Here you are (when giving something to someone).
CENTER-PERIPHERY,Here’s to… (drinking a toast).
CENTER-PERIPHERY,People who are dear to us should be near us.
CENTER-PERIPHERY,They are very close friends.
CENTER-PERIPHERY,The question of women’s rights is a subject close to her heart.
CENTER-PERIPHERY,I’ll be around if you should want me.
CENTER-PERIPHERY,Here’s the door and there’s the way (used by one of the quarrelling parties in order to make the other one leave the room).
CENTER-PERIPHERY,There I disagree with you.
CENTER-PERIPHERY,There comes the difficulty.
CENTER-PERIPHERY,There’s the rub.
CENTER-PERIPHERY,"Since she died, he just sits out there all day doing nothing."
CENTER-PERIPHERY,The problem is far from being solved.
CENTER-PERIPHERY,"Far-fetched (= forced, unnatural)"
CENTER-PERIPHERY,"far-gone (= deeply advanced into e.g. illness, madness, drunkenness, debt, etc.)."
CENTER-PERIPHERY,"I always thought of my parents as being rigid, distant, and unloving."
CENTER-PERIPHERY,We are on distant terms.
CENTER-PERIPHERY,A distant connection between two ideas.
CENTER-PERIPHERY,A distant manner.
CENTER-PERIPHERY,His stories are too remote from everyday life.
CENTER-PERIPHERY,"She was a silent girl, cool and remote."
CENTER-PERIPHERY,We're finally on the same page.
CENTER-PERIPHERY,Who's with me?
CENTER-PERIPHERY,I feel close to him.
CENTER-PERIPHERY,He distances himself.
CENTER-PERIPHERY,When Tuesday comes. . .
CENTER-PERIPHERY,Three O’clock is approaching.
CENTER-PERIPHERY,Thursday passed without incident.
CENTER-PERIPHERY,The witching hour is near.
CENTER-PERIPHERY,Who are the men closest to Khomeini? (Who are the men who have the strongest effect on Khomeini?)
CENTER-PERIPHERY,so you kind of feel a little bit closer to the character within the book.
CENTER-PERIPHERY,at that point I think I sort of felt like I had taken a step away from the story.
CENTER-PERIPHERY,"but it felt like someone you love being pulled away from you ever so slowly, agonizingly slowly, watching someone you love being tortured and then just having her gone, it was quite horrible. I mean what was in my soul, it’s probably the best description I can give you, it’s like a massive loss."
CENTER-PERIPHERY,It is close on midnight.
CENTER-PERIPHERY,To answer that question we need to go further back in time.
CENTER-PERIPHERY,He was close to tears.
CENTER-PERIPHERY,He became emotionally distant from his friends and family after the illness.
CENTER-PERIPHERY,He is one of the prime minister's closest advisers.
CENTER-PERIPHERY,People need be entertained to take their attention away from conflict.
CENTER-PERIPHERY,I can feel a headache approaching.
CENTER-PERIPHERY,My symptoms went away.
CENTER-PERIPHERY,House Democrats and Republicans moved closer to agreeing on a budget today.
CENTER-PERIPHERY,It is unclear how the new law applies to this situation.
CENTER-PERIPHERY,Canada is by far the closest of all our neighbors.
CONTACT,His mother’s death hit him hard.
CONTACT,That idea bowled me over.
CONTACT,She’s a knockout.
CONTACT,I was struck by his sincerity.
CONTACT,That really made an impression on me.
CONTACT,He made his mark on the world.
CONTACT,I was touched by his remark.
CONTACT,That blew me away.
CONTACT,"We talk and talk, but I can’t seem to reach him."
CONTACT,We connect.
CONTACT,"We talk and talk, but I can’t seem to reach him."
CONTACT,He got to her.
CONTACT,I think I’m making contact with him.
CONTACT,I’m touched.
CONTACT,He touched her with the expensive gift.
CONTACT,He tickles her pink with his remarks.
CONTACT,He makes my skin crawl.
CONTACT,He rubs her the wrong way. (involves also People are Animals metaphor)
CONTACT,Her T-shirt said Handle with Care”.
CONTACT,He doesn’t know how to handle her.
CONTACT,He has to be handled with kid gloves
CONTACT,He doesn’t feel anything so you really have to shake him.
CONTACT,His comment hit Joe right where it hurts.
CONTACT,He wraps himself in armor.
CONTACT,He shields himself from any experiences.
CONTACT,He won’t let anyone get near him.
CONTACT,He’s out of touch with everyone.
CONTACT,She’s in touch with him.
CONTACT,I can’t reach him by telephone.
CONTACT,We’ve been out of contact for years.
CONTAINMENT,What obligations have you gotten yourself into?
CONTAINMENT,Can you get out of doing the dishes?
CONTAINMENT,"I can’t get out of it, I’m locked into it."
CONTAINMENT,"Try to get out of those committments, don’t let your boss box you in."
CONTAINMENT,"There’s no way out, I have to do it."
CONTAINMENT,He trapped her into going with her.
CONTAINMENT,Do you know what you’re getting into?
CONTAINMENT,Have they entered into an agreement yet?
CONTAINMENT,He couldn’t get out of his agreement.
CONTAINMENT,He can be coaxed into an agreement.
CONTAINMENT,Is there an excape hatch in this agreement?
CONTAINMENT,He made/fixed/arranged it so that she couldn’t get out of it.
CONTAINMENT,He did it in three minutes.
CONTAINMENT,In 1968. . .
CONTAINMENT,We’re well into the century.
CONTAINMENT,He’s like something out of the last century.
CONTAINMENT,My morning has been very full.
CONTAINMENT,I can’t get this idea out of my mind.
CONTAINMENT,What did you have in mind?
CONTAINMENT,Who put that idea in your head?
CONTAINMENT,That boy hasn’t a thought in his head.
CONTAINMENT,He was putting on an act to impress an empty-headed girl.
CONTAINMENT,My mind was empty except for thoughts other.
CONTAINMENT,Nobody in their right mind would enjoy this show.
CONTAINMENT,He’s gone out of his mind.
CONTAINMENT,It's all in your mind.
CONTAINMENT,Keep it in the back of your mind
CONTAINMENT,"They listened to my lecture, but how much did they take in, I wonder!"
CONTAINMENT,I can’t get this Latin grammar into my head.
CONTAINMENT,"Taking everything into consideration, the result is better than I expected."
CONTAINMENT,Open your mind to some new thoughts.
CONTAINMENT,She tried to keep an open mind on such subjects.
CONTAINMENT,… a closed mind.
CONTAINMENT,She assured me that her parents were broadminded.
CONTAINMENT,How stupid and bigoted and narrowminded he had become.
CONTAINMENT,I’ve kept this in my memory for years.
CONTAINMENT,Keep in mind that she is a friend of the director.
CONTAINMENT,You’ll need these figures so often that you must commit them to memory.
CONTAINMENT,He stored the knowledge somewhere in his fearsome memory.
CONTAINMENT,I could see the fear in his eyes.
CONTAINMENT,His eyes were filled with anger.
CONTAINMENT,There was passion in her eyes.
CONTAINMENT,His eyes displayed his compassion.
CONTAINMENT,She couldn’t get the fear out of her eyes.
CONTAINMENT,Love showed in his eyes.
CONTAINMENT,Her eyes welled with emotion.
CONTAINMENT,It was well within my field of vision.
CONTAINMENT,My field of vision was entirely filled by the huge crowd.
CONTAINMENT,He came into view.
CONTAINMENT,It was outside of my field of vision.
CONTAINMENT,He went out of view.
CONTAINMENT,The ship is coming into view.
CONTAINMENT,I have him in sight.
CONTAINMENT,I can’t see him – the tree is in the way.
CONTAINMENT,He’s out of sight now.
CONTAINMENT,That’s in the center of my field of vision.
CONTAINMENT,There’s nothing in sight.
CONTAINMENT,I can’t get all of the ships in sight at once.
CONTAINMENT,It's out of my field of vision.
CONTAINMENT,The island is now in full view.
CONTAINMENT,He’s a young man trapped in an old man’s body.
CONTAINMENT,He withdraws into himself.
CONTAINMENT,She found a chink in his armor.
CONTAINMENT,"Once you get past his rude exterior, you’ll find a warm and caring person inside."
CONTAINMENT,He’s a beautiful person inside.
CONTAINMENT,I was filled with rage.
CONTAINMENT,She was overflowing with joy.
CONTAINMENT,She could hardly contain her anger.
CONTAINMENT,She was filled with hatred.
CONTAINMENT,She let out a bitter cry.
CONTAINMENT,"The astounded Reichert could only blurt out, “where have you come from?”"
CONTAINMENT,"Romeo wanted to speak out, but waited for her to say more."
CONTAINMENT,This allowed children to live out their natural interests.
CONTAINMENT,The truth had to be dragged out of him.
CONTAINMENT,Children act out their frustration in temper tantrums.
CONTAINMENT,When cornered they lashed out with savage kicks.
CONTAINMENT,Women are expected to hold in their anger.
CONTAINMENT,The implications of this did not first sink in.
CONTAINMENT,Such expectations are drummed into every growing child.
CONTAINMENT,He was filled with anger.
CONTAINMENT,She couldn't contain her joy.
CONTAINMENT,She was brimming with rage.
CONTAINMENT,The sketch was in the shape of a heart.
CONTAINMENT,It was a block of chocolate in the form of a cable car.
CONTAINMENT,How did I get myself into this situation?
CONTAINMENT,We’re in this thing together.
CONTAINMENT,How do we get out of this situation?
CONTAINMENT,We’re in a mess.
CONTAINMENT,We’re in hot water.
CONTAINMENT,We’re in a lot of trouble now.
CONTAINMENT,Let’s try to get out of this situation.
CONTAINMENT,He’s in it up to his neck.
CONTAINMENT,We have to look deeply into this problem for its solution.
CONTAINMENT,The detective set out to crack the case.
CONTAINMENT,I’m going to break this case wide open.
CONTAINMENT,He finally found the key to the problem.
CONTAINMENT,That’s a hard problem.
CONTAINMENT,I found his explanation impenetrable.
CONTAINMENT,The truth finally came out.
CONTAINMENT,The truth emerged.
CONTAINMENT,Now we’re really getting into the problem.
CONTAINMENT,The problem has a buried solution.
CONTAINMENT,Now I want to get to the bottom of this problem.
CONTAINMENT,Have you found out a solution?
CONTAINMENT,I won’t tell you – you’ll have to find out for yourself!
CONTAINMENT,He finally came up with a solution.
CONTAINMENT,The solution finally was brought to light.
CONTAINMENT,We fished out a number of unpleasant facts.
CONTAINMENT,We dredged up a load of sordid facts about her.
CONTAINMENT,Only one conclusion can be drawn from that.
CONTAINMENT,What did you gather from his statement?
CONTAINMENT,Try to pack more thought into fewer words.
CONTAINMENT,You can’t simply stuff ideas into a sentence any old way.
CONTAINMENT,The meaning is right there in the words.
