sentence,image_schema,annotation
"Though politically the country is free, its people remain chained by poverty.",FORCE,
House Republicans blocked the Democrats' attempts to move forward with the healthcare bill.,FORCE,
The Senator's filibuster halted the passage of the bill.,FORCE,
Our relationship is losing steam.,FORCE,
He pushes me too hard.,FORCE,
She pushed me into doing it.,FORCE,
They dragged me into doing it.,FORCE,
I am being pulled along by the current.,FORCE,
She leaned on him to do it.,FORCE,
She put the lean on him.,FORCE,
He is a mover and a shaker.,FORCE,
He really throws his weight around.,FORCE,
"Bloomberg Goes to Washington to Push Gun Laws, but Senate Has Other Ideas ",FORCE,
Livingston County judge: Cuomo administration steamrolled lawmakers on gay marriage vote,FORCE,
Vanity finally drove me to have the operation.,FORCE,
He turned all funny.,FORCE,
He turned into a monster.,FORCE,
"There was a remarkable turn-round from an $ 828,000 loss to a $ 175,000 surplus.",FORCE,
She has gone mad over him.,FORCE,
The friendship turned sour last summer.,FORCE,
My father became fierce when he lost his temper.,FORCE,
He was growing anxious for her being again at Mansfield.,FORCE,
K. erwartet eine Konjunkturwende in Ostdeutschland noch in diesem Jahr.,FORCE,
It is smooth sailing from here on in.,FORCE,
It's all downhill from here.,FORCE,
There's nothing in our way.,FORCE,
She guided him through it.,FORCE,
She walked him through it.,FORCE,
She led him through the rough parts.,FORCE,
I am proud of the momentum towards Fair Trade that now exists.,FORCE,
the Lisbon strategy is going to have new momentum.,FORCE,
It is now time ... because the momentum is there.,FORCE,
Last November saw the peace process gather momentum.,FORCE,
Economic growth has gained momentum.,FORCE,
I think some momentum is being lost.,FORCE,
This momentum is diminishing day by day.,FORCE,
"On the contrary, it created new momentum.",FORCE,
We urgently need a European policy to give momentum to this sector.,FORCE,
Now the time has come to regenerate a new momentum in the reform process.,FORCE,
Appointing people who are even worse than NN ... will destroy the momentum and work against progress.,FORCE,
The report comes at the right moment to maintain the momentum for the in-depth revision of the Directive.,FORCE,
Europe must now keep the momentum going.,FORCE,
We are not convinced at this stage that such an initiative would indeed boost momentum in the region.,FORCE,
The new government is encouraged to consolidate and enhance the momentum of political reform.,FORCE,
"I, too, am in favour of an evaluation and of our now putting to the test /…/, but we also need new momentum",FORCE,
"But this requires reform, it requires economic momentum, and it requires higher rates of productivity.",FORCE,
I believe we should take advantage of the momentum generated by the Transatlantic Agenda.,FORCE,
I hope that we can use this momentum together for the benefit of effective European solidarity.,FORCE,
This momentum causes an increasing number of delegations to realise that it is more in their interests for the talks to succeed than to fail.,FORCE,
We are going upstream.,FORCE,
We are fighting an uphill battle.,FORCE,
It’s a steep road ahead.,FORCE,
It’s a long and winding road.,FORCE,
We are in rough waters.,FORCE,
…die…Hilfe zur Selbsthilfe endlich in Gang bringen…,FORCE,
…das Asylverfahren zu beschleunigen…,FORCE,
Aber das rasante Tempo [deutsche Einigung] ließ keine Zeit…,FORCE,
"Wie war es Major möglich gewesen, den Trend zu bremsen…",FORCE,
„Wir haben da erfolgreich einen Anstoß gegeben…,FORCE,
"…bei aller Verschleierung und Immobilität, auch der Beginn eines Aufbruchs nach einem Moment des Innehaltens…",FORCE,
…die europäische Einigung vorantrieben…,FORCE,
Dieser investive Schub…,FORCE,
…den…Export in die ehemalige Sowjetunion wieder auf Touren zu bringen.,FORCE,
..einem langsamen Tempo bei der Anpassung der Ostlöhne…,FORCE,
This computer program turns the power on and off.,FORCE,
"Create a complete, measurable, action plan which includes all the steps necessary to achieve your goal.",FORCE,
We're skipping right along.,FORCE,
I'm walking on egg shells.,FORCE,
We slogged through it.,FORCE,
The state took a big step toward banning assault weapons.,FORCE,
Congress moved quickly to avoid a governmental shutdown.,FORCE,
The legislature is considering an alternative approach to deficit reduction.,FORCE,
Postal Service bill faces roadblocks,FORCE,
Scientists have taken a big step in understanding Alzheimer’s disease.,FORCE,
We’ve taken the first step.,FORCE,
I’m moving right along on the project.,FORCE,
She made great strides in her dissertation.,FORCE,
She climbed out of poverty.,FORCE,
We are trying to find the most elegant approach to solving this problem.,FORCE,
Heutige Kriegstechnik ist weiter…,FORCE,
"Dieses Projekt erfordert natürlich einen mächtigen „Sprung voran, bei dem eine „ökumenische Weite Minimalziel ist.",FORCE,
…die Dynamik von Fortschritt…,FORCE,
Die Progressiven…,FORCE,
…kommen die Investitionen in Ostdeutschland erstaunlich gut voran.,FORCE,
…welche Fortschritte auf dem Weg zu diesem Ziel gemacht werden.,FORCE,
Den Aufschwung der Region würden bessere Anbindungen…viel eher voranbringen.,FORCE,
Europa auf dem Weg zur „Gemeinschaft… einen Schritt voran bringt.,FORCE,
"Mit ihm…sei das absolute Wissen erreicht, sei der Geist endgültig beim Bewusstsein seiner Freiheit angelangt.",FORCE,
We’ve come a long way.,FORCE,
We’ve covered lots of ground.,FORCE,
We’ve made it this far.,FORCE,
Oil shares continued to move ahead …,FORCE,
XYZ-Aktien rückten vor.,FORCE,
The Service will continue to stagger from crisis to crisis.,FORCE,
We are moving ahead.,FORCE,
Let’s forge ahead.,FORCE,
Let’s keep moving forward.,FORCE,
We made lots of forward movement.,FORCE,
We are sliding backward.,FORCE,
We are backsliding.,FORCE,
We need to backtrack.,FORCE,
It is time to turn around and retrace our steps.,FORCE,
We are at a standstill.,FORCE,
We aren’t getting anyplace.,FORCE,
We are going nowhere with this.,FORCE,
He hadn't made much headway in writing the termpaper.,FORCE,
I'm afraid I haven't gotten very far in grading the exams.,FORCE,
In London sind die Kurse … zurückgegangen.,FORCE,
The market eased back from its recent advance.,FORCE,
The province is quite close to sliding into civil war.,FORCE,
I came out of my depression.,FORCE,
He went crazy.,FORCE,
He went over the edge.,FORCE,
She entered a state of euphoria.,FORCE,
He fell into a depression.,FORCE,
He went deeper into his depression.,FORCE,
"In the sun, the clothes went from wet to dry in an hour.",FORCE,
"In the sun, the clothes went from wet to dry in an hour.",FORCE,
He went from innocent to worldly.,FORCE,
She was nearly insane.,FORCE,
He slipped into a depression.,FORCE,
His hair went gray.,FORCE,
He went from laughing to crying.,FORCE,
She was nearly crying.,FORCE,
He went back to/returned to polishing the silver.,FORCE,
My car has gone from bad to worse lately.,FORCE,
I got a headache.,FORCE,
My headache went away.,FORCE,
The noise gave me a headache.,FORCE,
The aspirin took away my headache.,FORCE,
The council brought the project into compliance with state regulations.,FORCE,
This book will guide you step by step how to apply for citizenship.,FORCE,
cash flow,FORCE,
The money is gushing out of my retirement account.,FORCE,
He can exert his influence on her.,FORCE,
Her influence was strong.,FORCE,
She could bend his will.,FORCE,
Reagan brought pressure to bear upon his cabinet.,FORCE,
I was moved by the poem.,FORCE,
I was pushed into depression.,FORCE,
She was carried away by the song.,FORCE,
He was struck by anger.,FORCE,
I was moved by the poem.,FORCE,
I can feel the good vibrations.,FORCE,
I can feel the good vibrations.,FORCE,
felt a sudden restlessness like that of a ship pulling against its moorings.,FORCE,
"expressed in multiple movements, wasted, unnecessary, like the tu- mult of wind or water",FORCE,
making for tumult and motion,FORCE,
"But inevitably, she would grow restive and tumultuous, chaotic and disturbed.",FORCE,
"The same irresistible impulse, tension, compulsion and then depression following the yielding to the impulse, revulsion, bitterness, depression, and the compulsion once more.",FORCE,
All the tensions of pretences ceased.,FORCE,
and not a chaos which carried her.,FORCE,
her own nerves did not coil and spring within her,FORCE,
